x,y,z,nx,ny,nz,u,v
1.81947698,5.00000000,0.43885081,0.916200,-0.350455,0.194317,0.006156,1.000000
0.00143968,0.00000000,-0.00412750,0.860630,-0.345985,0.373645,0.013815,0.000000
0.09240160,0.25000000,0.01784988,0.860152,-0.345914,0.374811,0.013815,0.050000
0.18336352,0.50000000,0.03982725,0.859647,-0.345838,0.376037,0.013815,0.100000
0.27432543,0.75000000,0.06180463,0.859113,-0.345757,0.377328,0.013815,0.150000
0.36528735,1.00000000,0.08378201,0.858548,-0.345671,0.378691,0.013815,0.200000
0.45624927,1.25000000,0.10575939,0.857948,-0.345580,0.380131,0.013815,0.250000
0.54721119,1.50000000,0.12773677,0.857311,-0.345482,0.381655,0.013815,0.300000
0.63817310,1.75000000,0.14971415,0.856632,-0.345377,0.383270,0.013815,0.350000
0.72913502,2.00000000,0.17169153,0.855908,-0.345264,0.384986,0.013815,0.400000
0.82009694,2.25000000,0.19366890,0.855134,-0.345143,0.386811,0.013815,0.450000
0.91105886,2.50000000,0.21564628,0.854304,-0.345012,0.388756,0.013815,0.500000
1.00202077,2.75000000,0.23762366,0.853413,-0.344870,0.390833,0.013815,0.550000
1.09298269,3.00000000,0.25960104,0.852453,-0.344717,0.393057,0.013815,0.600000
1.18394461,3.25000000,0.28157842,0.851417,-0.344549,0.395444,0.013815,0.650000
1.27490653,3.50000000,0.30355580,0.850294,-0.344366,0.398011,0.013815,0.700000
1.36586844,3.75000000,0.32553318,0.849073,-0.344166,0.400781,0.013815,0.750000
1.45683036,4.00000000,0.34751055,0.847742,-0.343945,0.403777,0.013815,0.800000
1.54779228,4.25000000,0.36948793,0.846284,-0.343700,0.407030,0.013815,0.850000
1.63875420,4.50000000,0.39146531,0.844681,-0.343429,0.410573,0.013815,0.900000
1.72971612,4.75000000,0.41344269,0.842911,-0.343125,0.414446,0.013815,0.950000
1.82067803,5.00000000,0.43542007,0.840946,-0.342784,0.418699,0.013815,1.000000
0.00697570,0.00000000,-0.01288474,0.723547,-0.317337,0.613007,0.024472,0.000000
0.09781049,0.25000000,0.00931912,0.722772,-0.317146,0.614019,0.024472,0.050000
0.18864527,0.50000000,0.03152297,0.721956,-0.316944,0.615083,0.024472,0.100000
0.27948006,0.75000000,0.05372682,0.721093,-0.316730,0.616204,0.024472,0.150000
