x,y,z,nx,ny,nz,u,v
1.95248608,5.00000000,0.43252983,0.000000,1.000000,-0.000000,0.206107,0.750000
1.95196230,5.00000000,0.40669740,0.000000,1.000000,-0.000000,0.206107,1.000000
1.98567735,5.00000000,0.51362770,0.000000,1.000000,-0.000000,0.238751,0.000000
1.98481100,5.00000000,0.48621631,0.000000,1.000000,-0.000000,0.238751,0.250000
1.98394466,5.00000000,0.45880493,-0.000000,1.000000,0.000000,0.238751,0.500000
1.98307831,5.00000000,0.43139355,-0.000000,1.000000,0.000000,0.238751,0.750000
1.98221196,5.00000000,0.40398216,0.000000,1.000000,-0.000000,0.238751,1.000000
2.01981469,5.00000000,0.51598570,-0.000000,1.000000,0.000000,0.273005,0.000000
2.01879926,5.00000000,0.48735373,-0.000000,1.000000,0.000000,0.273005,0.250000
2.01778384,5.00000000,0.45872175,-0.000000,1.000000,0.000000,0.273005,0.500000
2.01676841,5.00000000,0.43008977,0.000000,1.000000,0.000000,0.273005,0.750000
2.01575299,5.00000000,0.40145780,0.000000,1.000000,0.000000,0.273005,1.000000
2.05629249,5.00000000,0.51745451,-0.000000,1.000000,0.000000,0.308658,0.000000
2.05527353,5.00000000,0.48797883,-0.000000,1.000000,0.000000,0.308658,0.250000
2.05425457,5.00000000,0.45850314,-0.000000,1.000000,0.000000,0.308658,0.500000
2.05323561,5.00000000,0.42902746,0.000000,1.000000,-0.000000,0.308658,0.750000
2.05221666,5.00000000,0.39955177,-0.000000,1.000000,0.000000,0.308658,1.000000
2.09499759,5.00000000,0.51813322,-0.000000,1.000000,0.000000,0.345492,0.000000
2.09400944,5.00000000,0.48821018,-0.000000,1.000000,0.000000,0.345492,0.250000
2.09302130,5.00000000,0.45828713,0.000000,1.000000,-0.000000,0.345492,0.500000
2.09203316,5.00000000,0.42836409,0.000000,1.000000,0.000000,0.345492,0.750000
2.09104501,5.00000000,0.39844104,-0.000000,1.000000,0.000000,0.345492,1.000000
2.13562370,5.00000000,0.51802873,0.000000,1.000000,-0.000000,0.383277,0.000000
2.13466496,5.00000000,0.48804751,-0.000000,1.000000,0.000000,0.383277,0.250000
2.13370623,5.00000000,0.45806629,-0.000000,1.000000,0.000000,0.383277,0.500000
2.13274749,5.00000000,0.42808507,0.000000,1.000000,-0.000000,0.383277,0.750000
2.13178876,5.00000000,0.39810385,0.000000,1.000000,-0.000000,0.383277,1.000000
2.17774632,5.00000000,0.51718400,-0.000000,1.000000,0.000000,0.421783,0.000000
2.17682904,5.00000000,0.48751409,-0.000000,1.000000,0.000000,0.421783,0.250000
