x,y,z,nx,ny,nz,u,v
0.00212696,0.00000000,0.02218517,-0.882740,0.289436,0.370131,0.013815,0.000000
0.09303725,0.25000000,0.04350473,-0.883164,0.289694,0.368916,0.013815,0.050000
0.18394753,0.50000000,0.06482429,-0.883608,0.289965,0.367637,0.013815,0.100000
0.27485782,0.75000000,0.08614385,-0.884075,0.290250,0.366287,0.013815,0.150000
0.36576810,1.00000000,0.10746341,-0.884566,0.290550,0.364862,0.013815,0.200000
0.45667838,1.25000000,0.12878297,-0.885082,0.290866,0.363355,0.013815,0.250000
0.54758867,1.50000000,0.15010253,-0.885626,0.291200,0.361759,0.013815,0.300000
0.63849895,1.75000000,0.17142209,-0.886200,0.291553,0.360064,0.013815,0.350000
0.72940924,2.00000000,0.19274165,-0.886807,0.291927,0.358263,0.013815,0.400000
0.82031952,2.25000000,0.21406121,-0.887449,0.292324,0.356345,0.013815,0.450000
0.91122981,2.50000000,0.23538077,-0.888129,0.292746,0.354297,0.013815,0.500000
1.00214009,2.75000000,0.25670033,-0.888851,0.293196,0.352107,0.013815,0.550000
1.09305038,3.00000000,0.27801989,-0.889620,0.293676,0.349759,0.013815,0.600000
1.18396066,3.25000000,0.29933945,-0.890439,0.294189,0.347235,0.013815,0.650000
1.27487095,3.50000000,0.32065901,-0.891313,0.294738,0.344515,0.013815,0.700000
1.36578123,3.75000000,0.34197856,-0.892248,0.295329,0.341576,0.013815,0.750000
1.45669152,4.00000000,0.36329812,-0.893251,0.295966,0.338389,0.013815,0.800000
1.54760180,4.25000000,0.38461768,-0.894329,0.296653,0.334922,0.013815,0.850000
1.63851208,4.50000000,0.40593724,-0.895490,0.297398,0.331137,0.013815,0.900000
1.72942237,4.75000000,0.42725680,-0.896745,0.298208,0.326988,0.013815,0.950000
1.82033265,5.00000000,0.44857636,-0.898103,0.299092,0.322420,0.013815,1.000000
0.00770777,0.00000000,0.03221391,-0.798300,0.243364,0.550901,0.024472,0.000000
0.09846522,0.25000000,0.05328971,-0.798969,0.243701,0.549781,0.024472,0.050000
0.18922267,0.50000000,0.07436551,-0.799671,0.244056,0.548601,0.024472,0.100000
