x,y,z,nx,ny,nz,u,v
1.83509257,5.00000000,0.42393874,0.371580,-0.215937,0.902939,0.050000,1.000000
0.05771927,0.00000000,-0.03905593,0.273314,-0.184526,0.944060,0.075000,0.000000
0.14731797,0.25000000,-0.01613050,0.272068,-0.184120,0.944499,0.075000,0.050000
0.23691667,0.50000000,0.00679492,0.270755,-0.183692,0.944960,0.075000,0.100000
0.32651537,0.75000000,0.02972034,0.269371,-0.183240,0.945443,0.075000,0.150000
0.41611407,1.00000000,0.05264576,0.267908,-0.182762,0.945951,0.075000,0.200000
0.50571277,1.25000000,0.07557118,0.266361,-0.182257,0.946485,0.075000,0.250000
0.59531147,1.50000000,0.09849661,0.264722,-0.181721,0.947048,0.075000,0.300000
0.68491017,1.75000000,0.12142203,0.262982,-0.181152,0.947642,0.075000,0.350000
0.77450887,2.00000000,0.14434745,0.261131,-0.180546,0.948269,0.075000,0.400000
0.86410757,2.25000000,0.16727287,0.259160,-0.179900,0.948932,0.075000,0.450000
0.95370627,2.50000000,0.19019829,0.257055,-0.179210,0.949635,0.075000,0.500000
1.04330497,2.75000000,0.21312372,0.254802,-0.178471,0.950381,0.075000,0.550000
1.13290367,3.00000000,0.23604914,0.252386,-0.177678,0.951174,0.075000,0.600000
1.22250237,3.25000000,0.25897456,0.249789,-0.176825,0.952018,0.075000,0.650000
1.31210107,3.50000000,0.28189998,0.246988,-0.175904,0.952919,0.075000,0.700000
1.40169977,3.75000000,0.30482540,0.243960,-0.174907,0.953882,0.075000,0.750000
1.49129847,4.00000000,0.32775083,0.240675,-0.173824,0.954914,0.075000,0.800000
1.58089717,4.25000000,0.35067625,0.237100,-0.172644,0.956022,0.075000,0.850000
1.67049587,4.50000000,0.37360167,0.233194,-0.171354,0.957214,0.075000,0.900000
1.76009457,4.75000000,0.39652709,0.228910,-0.169936,0.958500,0.075000,0.950000
1.84969327,5.00000000,0.41945251,0.224190,-0.168372,0.959891,0.075000,1.000000
0.09069316,0.00000000,-0.04712256,0.204209,-0.162000,0.965430,0.100000,0.000000
0.17947693,0.25000000,-0.02395206,0.202928,-0.161576,0.965771,0.100000,0.050000
0.26826071,0.50000000,-0.00078155,0.201578,-0.161130,0.966128,0.100000,0.100000
0.35704449,0.75000000,0.02238896,0.200154,-0.160659,0.966502,0.100000,0.150000
0.44582827,1.00000000,0.04555947,0.198651,-0.160162,0.966895,0.100000,0.200000
0.53461204,1.25000000,0.06872997,0.197061,-0.159635,0.967307,0.100000,0.250000
0.62339582,1.50000000,0.09190048,0.195376,-0.159077,0.967741,0.100000,0.300000
0.71217960,1.75000000,0.11507099,0.193588,-0.158484,0.968197,0.100000,0.350000
0.80096338,2.00000000,0.13824150,0.191687,-0.157854,0.968679,0.100000,0.400000
0.88974715,2.25000000,0.16141200,0.189662,-0.157182,0.969186,0.100000,0.450000
0.97853093,2.50000000,0.18458251,0.187500,-0.156464,0.969723,0.100000,0.500000
1.06731471,2.75000000,0.20775302,0.185187,-0.155695,0.970291,0.100000,0.550000
1.15609849,3.00000000,0.23092352,0.182708,-0.154870,0.970893,0.100000,0.600000
1.24488226,3.25000000,0.25409403,0.180042,-0.153983,0.971532,0.100000,0.650000
1.33366604,3.50000000,0.27726454,0.177169,-0.153025,0.972211,0.100000,0.700000
1.42244982,3.75000000,0.30043505,0.174063,-0.151989,0.972934,0.100000,0.750000
1.51123360,4.00000000,0.32360555,0.170694,-0.150865,0.973706,0.100000,0.800000
1.60001737,4.25000000,0.34677606,0.167030,-0.149640,0.974530,0.100000,0.850000
1.68880115,4.50000000,0.36994657,0.163028,-0.148300,0.975412,0.100000,0.900000
1.77758493,4.75000000,0.39311708,0.158640,-0.146830,0.976358,0.100000,0.950000
1.86636871,5.00000000,0.41628758,0.153808,-0.145208,0.977373,0.100000,1.000000
0.12682042,0.00000000,-0.05407629,0.172949,-0.151856,0.973154,0.125000,0.000000
0.21470888,0.25000000,-0.03068443,0.171654,-0.151429,0.973450,0.125000,0.050000
0.30259733,0.50000000,-0.00729258,0.170291,-0.150979,0.973759,0.125000,0.100000
0.39048579,0.75000000,0.01609928,0.168853,-0.150503,0.974083,0.125000,0.150000
0.47837425,1.00000000,0.03949114,0.167334,-0.150001,0.974422,0.125000,0.200000
0.56626270,1.25000000,0.06288300,0.165728,-0.149470,0.974778,0.125000,0.250000
0.65415116,1.50000000,0.08627485,0.164026,-0.148907,0.975152,0.125000,0.300000
0.74203962,1.75000000,0.10966671,0.162221,-0.148309,0.975545,0.125000,0.350000
0.82992807,2.00000000,0.13305857,0.160301,-0.147672,0.975959,0.125000,0.400000
0.91781653,2.25000000,0.15645043,0.158256,-0.146994,0.976395,0.125000,0.450000
1.00570498,2.50000000,0.17984228,0.156073,-0.146270,0.976855,0.125000,0.500000
1.09359344,2.75000000,0.20323414,0.153739,-0.145495,0.977341,0.125000,0.550000
1.18148190,3.00000000,0.22662600,0.151235,-0.144663,0.977855,0.125000,0.600000
1.26937035,3.25000000,0.25001786,0.148545,-0.143768,0.978399,0.125000,0.650000
1.35725881,3.50000000,0.27340972,0.145645,-0.142802,0.978976,0.125000,0.700000
1.44514727,3.75000000,0.29680157,0.142511,-0.141758,0.979589,0.125000,0.750000
1.53303572,4.00000000,0.32019343,0.139113,-0.140624,0.980241,0.125000,0.800000
1.62092418,4.25000000,0.34358529,0.135416,-0.139390,0.980935,0.125000,0.850000
1.70881264,4.50000000,0.36697715,0.131380,-0.138040,0.981674,0.125000,0.900000
1.79670109,4.75000000,0.39036900,0.126955,-0.136558,0.982463,0.125000,0.950000
1.88458955,5.00000000,0.41376086,0.122083,-0.134924,0.983306,0.125000,1.000000
0.16554404,0.00000000,-0.06059991,0.157649,-0.147020,0.976490,0.150000,0.000000
0.25247161,0.25000000,-0.03699407,0.156349,-0.146593,0.976763,0.150000,0.050000
0.33939919,0.50000000,-0.01338823,0.154979,-0.146144,0.977048,0.150000,0.100000
0.42632676,0.75000000,0.01021760,0.153535,-0.145670,0.977347,0.150000,0.150000
0.51325434,1.00000000,0.03382344,0.152009,-0.145169,0.977660,0.150000,0.200000
0.60018191,1.25000000,0.05742928,0.150396,-0.144639,0.977988,0.150000,0.250000
0.68710949,1.50000000,0.08103512,0.148687,-0.144077,0.978332,0.150000,0.300000
0.77403706,1.75000000,0.10464095,0.146873,-0.143481,0.978694,0.150000,0.350000
0.86096464,2.00000000,0.12824679,0.144946,-0.142846,0.979074,0.150000,0.400000
0.94789221,2.25000000,0.15185263,0.142892,-0.142170,0.979474,0.150000,0.450000
1.03481978,2.50000000,0.17545847,0.140700,-0.141448,0.979896,0.150000,0.500000
1.12174736,2.75000000,0.19906430,0.138356,-0.140675,0.980341,0.150000,0.550000
1.20867493,3.00000000,0.22267014,0.135842,-0.139845,0.980811,0.150000,0.600000
1.29560251,3.25000000,0.24627598,0.133141,-0.138953,0.981308,0.150000,0.650000
1.38253008,3.50000000,0.26988182,0.130230,-0.137990,0.981834,0.150000,0.700000
1.46945766,3.75000000,0.29348765,0.127083,-0.136949,0.982392,0.150000,0.750000
1.55638523,4.00000000,0.31709349,0.123672,-0.135819,0.982984,0.150000,0.800000
1.64331281,4.25000000,0.34069933,0.119962,-0.134588,0.983613,0.150000,0.850000
1.73024038,4.50000000,0.36430517,0.115910,-0.133242,0.984282,0.150000,0.900000
1.81716796,4.75000000,0.38791100,0.111470,-0.131766,0.984994,0.150000,0.950000
1.90409553,5.00000000,0.41151684,0.106582,-0.130137,0.985751,0.150000,1.000000
0.20658193,0.00000000,-0.06705799,0.151083,-0.145088,0.977816,0.175000,0.000000
0.29249061,0.25000000,-0.04323678,0.149780,-0.144666,0.978079,0.175000,0.050000
0.37839928,0.50000000,-0.01941558,0.148408,-0.144220,0.978354,0.175000,0.100000
0.46430795,0.75000000,0.00440563,0.146961,-0.143750,0.978641,0.175000,0.150000
0.55021662,1.00000000,0.02822683,0.145433,-0.143254,0.978942,0.175000,0.200000
0.63612529,1.25000000,0.05204803,0.143816,-0.142729,0.979258,0.175000,0.250000
0.72203396,1.50000000,0.07586924,0.142104,-0.142172,0.979588,0.175000,0.300000
0.80794263,1.75000000,0.09969044,0.140288,-0.141581,0.979936,0.175000,0.350000
0.89385130,2.00000000,0.12351165,0.138356,-0.140952,0.980301,0.175000,0.400000
0.97975997,2.25000000,0.14733285,0.136299,-0.140282,0.980685,0.175000,0.450000
1.06566864,2.50000000,0.17115406,0.134104,-0.139566,0.981090,0.175000,0.500000
1.15157732,2.75000000,0.19497526,0.131755,-0.138799,0.981517,0.175000,0.550000
1.23748599,3.00000000,0.21879647,0.129238,-0.137977,0.981967,0.175000,0.600000
1.32339466,3.25000000,0.24261767,0.126532,-0.137093,0.982443,0.175000,0.650000
1.40930333,3.50000000,0.26643888,0.123616,-0.136139,0.982947,0.175000,0.700000
