x,y,z,nx,ny,nz,u,v
0.05794780,0.00000000,0.07371405,-0.488996,0.105326,0.865904,0.075000,0.000000
0.14739323,0.25000000,0.09381666,-0.490133,0.105789,0.865204,0.075000,0.050000
0.23683866,0.50000000,0.11391927,-0.491329,0.106277,0.864466,0.075000,0.100000
0.32628410,0.75000000,0.13402187,-0.492589,0.106790,0.863685,0.075000,0.150000
0.41572953,1.00000000,0.15412448,-0.493917,0.107332,0.862859,0.075000,0.200000
0.50517496,1.25000000,0.17422709,-0.495320,0.107904,0.861983,0.075000,0.250000
0.59462039,1.50000000,0.19432970,-0.496803,0.108509,0.861053,0.075000,0.300000
0.68406582,1.75000000,0.21443230,-0.498374,0.109151,0.860064,0.075000,0.350000
0.77351125,2.00000000,0.23453491,-0.500041,0.109832,0.859009,0.075000,0.400000
0.86295668,2.25000000,0.25463752,-0.501813,0.110557,0.857882,0.075000,0.450000
0.95240211,2.50000000,0.27474013,-0.503700,0.111329,0.856675,0.075000,0.500000
1.04184754,2.75000000,0.29484274,-0.505714,0.112154,0.855380,0.075000,0.550000
1.13129297,3.00000000,0.31494534,-0.507868,0.113037,0.853986,0.075000,0.600000
1.22073840,3.25000000,0.33504795,-0.510177,0.113984,0.852483,0.075000,0.650000
1.31018383,3.50000000,0.35515056,-0.512658,0.115002,0.850856,0.075000,0.700000
1.39962926,3.75000000,0.37525317,-0.515332,0.116100,0.849090,0.075000,0.750000
1.48907469,4.00000000,0.39535578,-0.518220,0.117289,0.847167,0.075000,0.800000
1.57852013,4.25000000,0.41545838,-0.521351,0.118578,0.845064,0.075000,0.850000
1.66796556,4.50000000,0.43556099,-0.524755,0.119981,0.842756,0.075000,0.900000
1.75741099,4.75000000,0.45566360,-0.528470,0.121515,0.840210,0.075000,0.950000
1.84685642,5.00000000,0.47576621,-0.532541,0.123198,0.837390,0.075000,1.000000
0.09227673,0.00000000,0.09033611,-0.383827,0.063265,0.921235,0.100000,0.000000
0.18084102,0.25000000,0.11006751,-0.385052,0.063741,0.920691,0.100000,0.050000
0.26940530,0.50000000,0.12979891,-0.386339,0.064243,0.920117,0.100000,0.100000
0.35796958,0.75000000,0.14953032,-0.387696,0.064771,0.919509,0.100000,0.150000
0.44653386,1.00000000,0.16926172,-0.389127,0.065329,0.918865,0.100000,0.200000
0.53509815,1.25000000,0.18899312,-0.390638,0.065918,0.918181,0.100000,0.250000
0.62366243,1.50000000,0.20872453,-0.392237,0.066542,0.917454,0.100000,0.300000
0.71222671,1.75000000,0.22845593,-0.393931,0.067204,0.916680,0.100000,0.350000
0.80079100,2.00000000,0.24818733,-0.395730,0.067906,0.915853,0.100000,0.400000
0.88935528,2.25000000,0.26791873,-0.397642,0.068653,0.914968,0.100000,0.450000
0.97791956,2.50000000,0.28765014,-0.399680,0.069450,0.914020,0.100000,0.500000
